cbsa1_name,cbsa2_name,cbsa1,cbsa2,raceDistance,incomeDistance,geographicDistance,scenesDistance,populationDistance,employmentDistance,bachelorDistance,frequencyDistance,frequencyCosine,categoriesJaccard,votingDistance
Los Angeles,Riverside,31080,40140,0.007262300793129343,8064.0,194057.45756134283,0.07714861755977608,8601159.0,0.036276995043700966,,17324.257704155752,0.9687331830696903,0.7633279483037156,0.1350804243162993
New York,Philadelphia,35620,37980,0.026150566450019272,8055.0,157752.5120183449,0.06497473120108305,13895419.0,0.009808700415863014,1.907131890829163,25341.53203734928,0.967715940603297,0.7969649398220827,0.005313127091684411
Miami,New York,33100,35620,0.038331465474987336,24525.0,1736398.6518866136,0.13608443933011916,14002137.0,0.013701648052443338,24.652530094379216,24417.646979182904,0.9485889030429812,0.8191019984427719,0.05645404817427602
Los Angeles,New York,31080,35620,0.037552137928469585,4505.0,3935093.213288166,0.06841745310216117,6939472.0,0.00153556696591306,,15722.72403243153,0.9462365957607094,0.8460172501268391,0.03097689451267016
New York,Washington,35620,47900,0.008109218309369845,26193.0,378772.7707637701,0.07047817092959015,13755308.0,0.06322289449360141,33.46601941747573,25995.747594558616,0.9576304278114213,0.7759477124183006,0.1564026743300082
Los Angeles,San Diego,31080,41740,0.018263727312659586,7869.0,177511.71337067158,0.04261519405186946,9902364.0,0.01221298059006981,,18178.0560291798,0.9866786549058866,0.7870845717373682,0.06255652803648071
Miami,Orlando,33100,36740,0.021723266391263235,2466.0,273066.13273469044,0.03624345697507125,3464957.0,0.013583899400450461,38.43769844802516,7461.511844123816,0.9775604909894228,0.7921219091431857,0.041295153489255054
Las Vegas,Los Angeles,29820,31080,0.018479910534014977,19194.0,370600.4038061851,0.1033173691159885,10935537.0,0.011936163691672719,,19977.429163933983,0.9657289972778267,0.7248908296943232,NaN
Dallas,Houston,19100,26420,0.008572342080221838,5337.0,371986.58995326125,0.021629121377028448,515147.0,0.027340003761494813,13.702858481724462,2649.166661423928,0.9917500165661444,0.823237885462555,0.00016722441639654972
Chicago,New York,16980,35620,0.0038762268727545847,8523.0,1175024.6527918614,0.1093269788696802,10521968.0,0.020125254177895457,18.3084070767648,18717.09237568699,0.9585422037623996,0.8349388180161417,0.01832855145777257
